X,Y,Z,Label
2.13,0.73,-0.97,79.00
2.18,0.76,-0.95,80.00
2.23,0.79,-0.93,81.00
2.28,0.82,-0.90,82.00
2.33,0.85,-0.88,83.00
2.38,0.87,-0.84,84.00
2.43,0.90,-0.81,85.00
2.47,0.93,-0.77,86.00
2.51,0.96,-0.73,87.00
2.55,0.98,-0.68,88.00
2.58,1.01,-0.64,89.00
2.61,1.03,-0.59,90.00
2.64,1.06,-0.54,91.00
2.67,1.08,-0.48,92.00
2.69,1.10,-0.43,93.00
2.71,1.12,-0.37,94.00
2.72,1.14,-0.31,95.00
2.73,1.16,-0.25,96.00
2.74,1.18,-0.19,97.00
2.74,1.19,-0.13,98.00
2.74,1.21,-0.06,99.00
2.74,1.22,0.00,0.00
2.73,1.23,0.06,1.00
2.72,1.24,0.13,2.00
2.71,1.25,0.19,3.00
2.69,1.25,0.25,4.00
2.67,1.26,0.31,5.00
2.65,1.26,0.37,6.00
2.62,1.26,0.43,7.00
2.59,1.26,0.48,8.00
2.55,1.25,0.54,9.00
2.52,1.25,0.59,10.00
2.48,1.24,0.64,11.00
2.43,1.23,0.68,12.00
2.39,1.22,0.73,13.00
2.34,1.21,0.77,14.00
2.29,1.20,0.81,15.00
2.24,1.18,0.84,16.00
2.19,1.17,0.88,17.00
2.14,1.15,0.90,18.00
2.08,1.13,0.93,19.00
2.02,1.11,0.95,20.00
1.97,1.09,0.97,21.00
1.91,1.07,0.98,22.00
1.85,1.05,0.99,23.00
1.79,1.02,1.00,24.00
1.73,1.00,1.00,25.00
1.67,0.98,1.00,26.00
1.62,0.95,0.99,27.00
1.56,0.93,0.98,28.00
1.50,0.90,0.97,29.00
1.45,0.88,0.95,30.00
1.39,0.85,0.93,31.00
1.34,0.83,0.90,32.00
1.29,0.80,0.88,33.00
1.24,0.78,0.84,34.00
1.19,0.76,0.81,35.00
1.15,0.73,0.77,36.00
1.10,0.71,0.73,37.00
1.06,0.69,0.68,38.00
1.03,0.68,0.64,39.00
0.99,0.66,0.59,40.00
0.96,0.64,0.54,41.00
0.93,0.63,0.48,42.00
0.90,0.62,0.43,43.00
0.88,0.61,0.37,44.00
0.86,0.60,0.31,45.00
0.84,0.59,0.25,46.00
0.83,0.59,0.19,47.00
0.82,0.59,0.13,48.00
0.81,0.59,0.06,49.00
0.81,0.59,0.00,50.00
0.81,0.59,-0.06,51.00
0.81,0.60,-0.13,52.00
0.82,0.61,-0.19,53.00
0.82,0.62,-0.25,54.00
0.84,0.63,-0.31,55.00
0.85,0.65,-0.37,56.00
0.87,0.67,-0.43,57.00
0.89,0.69,-0.48,58.00
0.91,0.71,-0.54,59.00
0.93,0.74,-0.59,60.00
0.96,0.77,-0.64,61.00
0.99,0.80,-0.68,62.00
1.02,0.83,-0.73,63.00
1.05,0.86,-0.77,64.00
1.09,0.90,-0.81,65.00
1.12,0.94,-0.84,66.00
1.16,0.98,-0.88,67.00
1.20,1.02,-0.90,68.00
1.24,1.06,-0.93,69.00
1.28,1.10,-0.95,70.00
1.32,1.15,-0.97,71.00
1.36,1.20,-0.98,72.00
1.40,1.24,-0.99,73.00
1.45,1.29,-1.00,74.00
1.49,1.34,-1.00,75.00
1.53,1.39,-1.00,76.00
1.57,1.44,-0.99,77.00
1.61,1.48,-0.98,78.00
1.65,1.53,-0.97,79.00
1.68,1.58,-0.95,80.00
1.72,1.63,-0.93,81.00
1.75,1.68,-0.90,82.00
1.79,1.72,-0.88,83.00
1.82,1.77,-0.84,84.00
1.85,1.81,-0.81,85.00
1.88,1.85,-0.77,86.00
1.90,1.89,-0.73,87.00
1.93,1.93,-0.68,88.00
1.95,1.97,-0.64,89.00
1.97,2.01,-0.59,90.00
1.98,2.04,-0.54,91.00
2.00,2.07,-0.48,92.00
2.01,2.10,-0.43,93.00
2.01,2.13,-0.37,94.00
2.02,2.15,-0.31,95.00
2.02,2.17,-0.25,96.00
2.02,2.19,-0.19,97.00
2.02,2.21,-0.13,98.00
2.02,2.22,-0.06,99.00
2.01,2.23,0.00,0.00
2.00,2.24,0.06,1.00
1.98,2.24,0.13,2.00
1.97,2.24,0.19,3.00
1.95,2.24,0.25,4.00
1.93,2.23,0.31,5.00
1.91,2.23,0.37,6.00
1.88,2.21,0.43,7.00
1.85,2.20,0.48,8.00
1.82,2.18,0.54,9.00
1.79,2.16,0.59,10.00
1.76,2.14,0.64,11.00
1.72,2.12,0.68,12.00
1.69,2.09,0.73,13.00
1.65,2.06,0.77,14.00
1.61,2.03,0.81,15.00
1.57,1.99,0.84,16.00
1.53,1.96,0.88,17.00
1.48,1.92,0.90,18.00
1.44,1.88,0.93,19.00
1.40,1.84,0.95,20.00
1.35,1.80,0.97,21.00
1.31,1.75,0.98,22.00
1.26,1.71,0.99,23.00
1.22,1.66,1.00,24.00
1.18,1.62,1.00,25.00
1.13,1.57,1.00,26.00
1.09,1.53,0.99,27.00
1.05,1.48,0.98,28.00
1.01,1.43,0.97,29.00
0.97,1.39,0.95,30.00
0.93,1.34,0.93,31.00
0.89,1.30,0.90,32.00
0.85,1.26,0.88,33.00
0.82,1.22,0.84,34.00
0.78,1.18,0.81,35.00
0.75,1.14,0.77,36.00
0.72,1.10,0.73,37.00
0.69,1.07,0.68,38.00
0.66,1.04,0.64,39.00
0.64,1.01,0.59,40.00
0.62,0.98,0.54,41.00
0.59,0.95,0.48,42.00
0.58,0.93,0.43,43.00
0.56,0.91,0.37,44.00
0.54,0.90,0.31,45.00
0.53,0.88,0.25,46.00
0.52,0.87,0.19,47.00
0.51,0.87,0.13,48.00
0.50,0.87,0.06,49.00
0.50,0.87,0.00,50.00
0.50,0.87,-0.06,51.00
0.50,0.88,-0.13,52.00
0.50,0.89,-0.19,53.00
0.50,0.90,-0.25,54.00
0.51,0.92,-0.31,55.00
0.51,0.94,-0.37,56.00
0.52,0.96,-0.43,57.00
0.53,0.99,-0.48,58.00
0.54,1.02,-0.54,59.00
0.55,1.06,-0.59,60.00
0.57,1.09,-0.64,61.00
0.58,1.13,-0.68,62.00
0.59,1.17,-0.73,63.00
0.61,1.22,-0.77,64.00
0.63,1.26,-0.81,65.00
0.65,1.31,-0.84,66.00
0.66,1.37,-0.88,67.00
0.68,1.42,-0.90,68.00
0.70,1.47,-0.93,69.00
0.72,1.53,-0.95,70.00
0.74,1.59,-0.97,71.00
0.76,1.65,-0.98,72.00
0.78,1.71,-0.99,73.00
0.80,1.77,-1.00,74.00
0.81,1.83,-1.00,75.00
0.83,1.89,-1.00,76.00
0.85,1.95,-0.99,77.00
0.86,2.01,-0.98,78.00
0.88,2.07,-0.97,79.00
0.89,2.13,-0.95,80.00
0.91,2.19,-0.93,81.00
0.92,2.24,-0.90,82.00
0.93,2.30,-0.88,83.00
0.94,2.35,-0.84,84.00
0.95,2.41,-0.81,85.00
0.96,2.46,-0.77,86.00
0.97,2.50,-0.73,87.00
0.97,2.55,-0.68,88.00
0.98,2.59,-0.64,89.00
0.98,2.63,-0.59,90.00
0.98,2.67,-0.54,91.00
0.98,2.70,-0.48,92.00
0.98,2.74,-0.43,93.00
0.98,2.76,-0.37,94.00
0.97,2.79,-0.31,95.00
0.96,2.81,-0.25,96.00
0.96,2.82,-0.19,97.00
0.95,2.84,-0.13,98.00
0.94,2.85,-0.06,99.00
0.93,2.85,0.00,0.00
0.91,2.86,0.06,1.00
0.90,2.85,0.13,2.00
0.89,2.85,0.19,3.00
0.87,2.84,0.25,4.00
0.85,2.83,0.31,5.00
0.84,2.81,0.37,6.00
0.82,2.79,0.43,7.00
0.80,2.76,0.48,8.00
0.78,2.74,0.54,9.00
0.76,2.71,0.59,10.00
0.73,2.67,0.64,11.00
0.71,2.63,0.68,12.00
0.69,2.59,0.73,13.00
0.67,2.55,0.77,14.00
0.64,2.51,0.81,15.00
0.62,2.46,0.84,16.00
0.60,2.41,0.88,17.00
0.57,2.36,0.90,18.00
0.55,2.30,0.93,19.00
0.53,2.25,0.95,20.00
0.50,2.19,0.97,21.00
0.48,2.13,0.98,22.00
0.46,2.08,0.99,23.00
0.44,2.02,1.00,24.00
0.42,1.96,1.00,25.00
0.39,1.90,1.00,26.00
0.37,1.84,0.99,27.00
0.35,1.78,0.98,28.00
0.34,1.72,0.97,29.00
0.32,1.66,0.95,30.00
0.30,1.60,0.93,31.00
0.28,1.55,0.90,32.00
0.27,1.49,0.88,33.00
0.25,1.44,0.84,34.00
0.24,1.39,0.81,35.00
0.22,1.34,0.77,36.00
0.21,1.30,0.73,37.00
0.20,1.26,0.68,38.00
0.18,1.22,0.64,39.00
0.17,1.18,0.59,40.00
0.16,1.14,0.54,41.00
0.15,1.11,0.48,42.00
0.15,1.09,0.43,43.00
0.14,1.06,0.37,44.00
0.13,1.04,0.31,45.00
0.12,1.02,0.25,46.00
0.12,1.01,0.19,47.00
0.11,1.00,0.13,48.00
0.11,1.00,0.06,49.00
0.10,0.99,0.00,50.00
0.10,1.00,-0.06,51.00
0.10,1.00,-0.13,52.00
0.09,1.01,-0.19,53.00
0.09,1.03,-0.25,54.00
0.09,1.05,-0.31,55.00
0.09,1.07,-0.37,56.00
0.08,1.09,-0.43,57.00
0.08,1.12,-0.48,58.00
0.08,1.15,-0.54,59.00
0.07,1.19,-0.59,60.00
0.07,1.23,-0.64,61.00
0.07,1.27,-0.68,62.00
0.07,1.31,-0.73,63.00
0.06,1.36,-0.77,64.00
0.06,1.41,-0.81,65.00
0.06,1.46,-0.84,66.00
0.05,1.52,-0.88,67.00
0.05,1.57,-0.90,68.00
0.04,1.63,-0.93,69.00
0.04,1.69,-0.95,70.00
0.03,1.75,-0.97,71.00
0.02,1.81,-0.98,72.00
0.02,1.87,-0.99,73.00
0.01,1.94,-1.00,74.00
0.00,2.00,-1.00,75.00
-0.01,2.06,-1.00,76.00
-0.02,2.13,-0.99,77.00
-0.03,2.19,-0.98,78.00
-0.04,2.25,-0.97,79.00
-0.05,2.31,-0.95,80.00
-0.06,2.37,-0.93,81.00
-0.07,2.42,-0.90,82.00
-0.08,2.48,-0.88,83.00
-0.10,2.53,-0.84,84.00
-0.11,2.59,-0.81,85.00
-0.12,2.63,-0.77,86.00
-0.13,2.68,-0.73,87.00
-0.15,2.72,-0.68,88.00
-0.16,2.77,-0.64,89.00
-0.18,2.80,-0.59,90.00
-0.19,2.84,-0.54,91.00
-0.20,2.87,-0.48,92.00
-0.22,2.90,-0.43,93.00
-0.23,2.92,-0.37,94.00
-0.25,2.94,-0.31,95.00
-0.26,2.96,-0.25,96.00
-0.27,2.97,-0.19,97.00
-0.29,2.98,-0.13,98.00
-0.30,2.98,-0.06,99.00
-0.31,2.98,0.00,0.00
-0.33,2.98,0.06,1.00
-0.34,2.97,0.13,2.00
-0.35,2.96,0.19,3.00
-0.36,2.95,0.25,4.00
-0.37,2.93,0.31,5.00
-0.38,2.91,0.37,6.00
-0.39,2.88,0.43,7.00
-0.40,2.85,0.48,8.00
-0.40,2.82,0.54,9.00
-0.41,2.78,0.59,10.00
-0.42,2.74,0.64,11.00
-0.42,2.70,0.68,12.00
-0.43,2.65,0.73,13.00
-0.43,2.60,0.77,14.00
-0.43,2.55,0.81,15.00
-0.43,2.50,0.84,16.00
-0.43,2.44,0.88,17.00
-0.43,2.39,0.90,18.00
-0.43,2.33,0.93,19.00
-0.43,2.27,0.95,20.00
-0.43,2.21,0.97,21.00
-0.43,2.15,0.98,22.00
-0.42,2.08,0.99,23.00
-0.42,2.02,1.00,24.00
-0.42,1.96,1.00,25.00
-0.41,1.89,1.00,26.00
-0.41,1.83,0.99,27.00
-0.40,1.77,0.98,28.00
-0.39,1.71,0.97,29.00
-0.39,1.65,0.95,30.00
-0.38,1.59,0.93,31.00
-0.37,1.53,0.90,32.00
-0.37,1.47,0.88,33.00
-0.36,1.42,0.84,34.00
-0.35,1.37,0.81,35.00
-0.34,1.32,0.77,36.00
-0.34,1.27,0.73,37.00
-0.33,1.23,0.68,38.00
-0.33,1.19,0.64,39.00
-0.32,1.15,0.59,40.00
-0.32,1.11,0.54,41.00
-0.31,1.08,0.48,42.00
-0.31,1.05,0.43,43.00
-0.31,1.03,0.37,44.00
-0.30,1.00,0.31,45.00
-0.30,0.99,0.25,46.00
-0.30,0.97,0.19,47.00
-0.30,0.96,0.13,48.00
-0.31,0.95,0.06,49.00
-0.31,0.95,0.00,50.00
-0.31,0.95,-0.06,51.00
-0.32,0.96,-0.13,52.00
-0.33,0.96,-0.19,53.00
-0.34,0.98,-0.25,54.00
-0.34,0.99,-0.31,55.00
-0.36,1.01,-0.37,56.00
-0.37,1.03,-0.43,57.00
-0.38,1.06,-0.48,58.00
-0.40,1.08,-0.54,59.00
-0.42,1.12,-0.59,60.00
-0.43,1.15,-0.64,61.00
-0.45,1.19,-0.68,62.00
-0.47,1.23,-0.73,63.00
-0.50,1.27,-0.77,64.00
-0.52,1.31,-0.81,65.00
-0.54,1.36,-0.84,66.00
-0.57,1.41,-0.88,67.00
-0.60,1.46,-0.90,68.00
-0.63,1.51,-0.93,69.00
-0.66,1.56,-0.95,70.00
-0.69,1.61,-0.97,71.00
-0.72,1.67,-0.98,72.00
-0.75,1.72,-0.99,73.00
-0.78,1.77,-1.00,74.00
-0.81,1.83,-1.00,75.00
-0.85,1.88,-1.00,76.00
-0.88,1.93,-0.99,77.00
-0.91,1.99,-0.98,78.00
-0.95,2.04,-0.97,79.00
-0.98,2.09,-0.95,80.00
-1.02,2.14,-0.93,81.00
-1.05,2.19,-0.90,82.00
-1.08,2.23,-0.88,83.00
-1.12,2.28,-0.84,84.00
-1.15,2.32,-0.81,85.00
-1.18,2.36,-0.77,86.00
-1.21,2.39,-0.73,87.00
-1.24,2.43,-0.68,88.00
-1.27,2.46,-0.64,89.00
-1.30,2.49,-0.59,90.00
-1.33,2.52,-0.54,91.00
-1.35,2.54,-0.48,92.00
-1.38,2.56,-0.43,93.00
-1.40,2.57,-0.37,94.00
-1.42,2.59,-0.31,95.00
-1.44,2.60,-0.25,96.00
-1.46,2.60,-0.19,97.00
-1.47,2.60,-0.13,98.00
-1.49,2.60,-0.06,99.00
-1.50,2.60,0.00,0.00
-1.51,2.59,0.06,1.00
-1.52,2.58,0.13,2.00
-1.52,2.56,0.19,3.00
-1.53,2.55,0.25,4.00
-1.53,2.52,0.31,5.00
-1.53,2.50,0.37,6.00
-1.53,2.47,0.43,7.00
-1.52,2.44,0.48,8.00
-1.51,2.41,0.54,9.00
-1.51,2.37,0.59,10.00
-1.49,2.33,0.64,11.00
-1.48,2.29,0.68,12.00
-1.47,2.25,0.73,13.00
-1.45,2.20,0.77,14.00
-1.43,2.16,0.81,15.00
-1.41,2.11,0.84,16.00
-1.39,2.06,0.88,17.00
-1.37,2.00,0.90,18.00
-1.34,1.95,0.93,19.00
-1.32,1.90,0.95,20.00
-1.29,1.84,0.97,21.00
-1.26,1.79,0.98,22.00
-1.23,1.73,0.99,23.00
-1.21,1.67,1.00,24.00
-1.18,1.62,1.00,25.00
-1.15,1.56,1.00,26.00
-1.11,1.51,0.99,27.00
-1.08,1.45,0.98,28.00
-1.05,1.40,0.97,29.00
-1.02,1.35,0.95,30.00
-0.99,1.30,0.93,31.00
-0.96,1.25,0.90,32.00
-0.93,1.20,0.88,33.00
-0.90,1.15,0.84,34.00
-0.88,1.11,0.81,35.00
-0.85,1.06,0.77,36.00
-0.83,1.02,0.73,37.00
-0.80,0.99,0.68,38.00
-0.78,0.95,0.64,39.00
-0.76,0.92,0.59,40.00
-0.74,0.89,0.54,41.00
-0.72,0.86,0.48,42.00
-0.71,0.84,0.43,43.00
-0.70,0.81,0.37,44.00
-0.69,0.79,0.31,45.00
-0.68,0.78,0.25,46.00
-0.67,0.76,0.19,47.00
-0.67,0.75,0.13,48.00
-0.67,0.75,0.06,49.00
-0.67,0.74,0.00,50.00
-0.67,0.74,-0.06,51.00
-0.68,0.74,-0.13,52.00
-0.69,0.75,-0.19,53.00
-0.70,0.75,-0.25,54.00
-0.72,0.76,-0.31,55.00
-0.74,0.78,-0.37,56.00
-0.76,0.79,-0.43,57.00
-0.78,0.81,-0.48,58.00
-0.81,0.83,-0.54,59.00
-0.83,0.85,-0.59,60.00
-0.86,0.87,-0.64,61.00
-0.90,0.90,-0.68,62.00
-0.93,0.93,-0.73,63.00
-0.97,0.96,-0.77,64.00
-1.01,0.99,-0.81,65.00
-1.05,1.02,-0.84,66.00
-1.09,1.05,-0.88,67.00
-1.14,1.09,-0.90,68.00
-1.18,1.12,-0.93,69.00
-1.23,1.16,-0.95,70.00
-1.28,1.19,-0.97,71.00
-1.33,1.23,-0.98,72.00
-1.38,1.27,-0.99,73.00
-1.43,1.30,-1.00,74.00
-1.49,1.34,-1.00,75.00
-1.54,1.37,-1.00,76.00
-1.59,1.41,-0.99,77.00
-1.64,1.44,-0.98,78.00
-1.70,1.48,-0.97,79.00
-1.75,1.51,-0.95,80.00
-1.80,1.54,-0.93,81.00
-1.85,1.57,-0.90,82.00
-1.90,1.60,-0.88,83.00
-1.95,1.62,-0.84,84.00
-1.99,1.65,-0.81,85.00
-2.04,1.67,-0.77,86.00
-2.08,1.69,-0.73,87.00
-2.12,1.71,-0.68,88.00
-2.16,1.73,-0.64,89.00
-2.20,1.74,-0.59,90.00
-2.24,1.76,-0.54,91.00
-2.27,1.77,-0.48,92.00
-2.30,1.78,-0.43,93.00
-2.33,1.78,-0.37,94.00
-2.35,1.78,-0.31,95.00
-2.37,1.78,-0.25,96.00
-2.39,1.78,-0.19,97.00
-2.41,1.78,-0.13,98.00
-2.42,1.77,-0.06,99.00
-2.43,1.76,0.00,0.00
-2.43,1.75,0.06,1.00
-2.44,1.74,0.13,2.00
-2.43,1.72,0.19,3.00
-2.43,1.70,0.25,4.00
-2.42,1.68,0.31,5.00
-2.41,1.66,0.37,6.00
-2.40,1.64,0.43,7.00
-2.38,1.61,0.48,8.00
-2.36,1.58,0.54,9.00
-2.34,1.55,0.59,10.00
-2.31,1.52,0.64,11.00
-2.29,1.49,0.68,12.00
-2.25,1.46,0.73,13.00
-2.22,1.42,0.77,14.00
-2.18,1.39,0.81,15.00
-2.15,1.35,0.84,16.00
-2.11,1.31,0.88,17.00
-2.06,1.27,0.90,18.00
-2.02,1.24,0.93,19.00
-1.98,1.20,0.95,20.00
-1.93,1.16,0.97,21.00
-1.88,1.12,0.98,22.00
-1.83,1.08,0.99,23.00
-1.78,1.04,1.00,24.00
-1.73,1.00,1.00,25.00
-1.68,0.96,1.00,26.00
-1.63,0.92,0.99,27.00
-1.58,0.89,0.98,28.00
-1.53,0.85,0.97,29.00
-1.48,0.81,0.95,30.00
-1.43,0.78,0.93,31.00
-1.39,0.75,0.90,32.00
-1.34,0.71,0.88,33.00
-1.29,0.68,0.84,34.00
-1.25,0.65,0.81,35.00
-1.21,0.63,0.77,36.00
-1.17,0.60,0.73,37.00
-1.13,0.57,0.68,38.00
-1.10,0.55,0.64,39.00
-1.07,0.53,0.59,40.00
-1.04,0.51,0.54,41.00
-1.01,0.49,0.48,42.00
-0.99,0.47,0.43,43.00
-0.97,0.46,0.37,44.00
-0.95,0.45,0.31,45.00
-0.94,0.44,0.25,46.00
-0.92,0.43,0.19,47.00
-0.92,0.42,0.13,48.00
-0.91,0.41,0.06,49.00
-0.91,0.41,0.00,50.00
-0.92,0.40,-0.06,51.00
-0.92,0.40,-0.13,52.00
-0.93,0.40,-0.19,53.00
-0.95,0.40,-0.25,54.00
-0.97,0.41,-0.31,55.00
-0.99,0.41,-0.37,56.00
-1.01,0.42,-0.43,57.00
-1.04,0.42,-0.48,58.00
-1.07,0.43,-0.54,59.00
-1.11,0.44,-0.59,60.00
-1.15,0.45,-0.64,61.00
-1.19,0.46,-0.68,62.00
-1.23,0.47,-0.73,63.00
-1.28,0.48,-0.77,64.00
-1.32,0.49,-0.81,65.00
-1.37,0.50,-0.84,66.00
-1.43,0.52,-0.88,67.00
-1.48,0.53,-0.90,68.00
-1.54,0.54,-0.93,69.00
-1.60,0.56,-0.95,70.00
-1.66,0.57,-0.97,71.00
-1.72,0.58,-0.98,72.00
-1.78,0.59,-0.99,73.00
-1.84,0.61,-1.00,74.00
-1.90,0.62,-1.00,75.00
-1.96,0.63,-1.00,76.00
-2.03,0.64,-0.99,77.00
-2.09,0.65,-0.98,78.00
-2.15,0.66,-0.97,79.00
-2.21,0.67,-0.95,80.00
-2.27,0.67,-0.93,81.00
-2.33,0.68,-0.90,82.00
-2.38,0.69,-0.88,83.00
-2.44,0.69,-0.84,84.00
-2.49,0.70,-0.81,85.00
-2.54,0.70,-0.77,86.00
-2.59,0.70,-0.73,87.00
-2.64,0.70,-0.68,88.00
-2.68,0.70,-0.64,89.00
-2.72,0.70,-0.59,90.00
-2.76,0.70,-0.54,91.00
-2.79,0.69,-0.48,92.00
-2.82,0.69,-0.43,93.00
-2.85,0.68,-0.37,94.00
-2.87,0.67,-0.31,95.00
-2.89,0.67,-0.25,96.00
-2.91,0.66,-0.19,97.00
-2.92,0.65,-0.13,98.00
-2.93,0.64,-0.06,99.00
-2.93,0.62,0.00,0.00
-2.94,0.61,0.06,1.00
-2.93,0.60,0.13,2.00
-2.92,0.58,0.19,3.00
-2.91,0.57,0.25,4.00
-2.90,0.55,0.31,5.00
-2.88,0.54,0.37,6.00
-2.86,0.52,0.43,7.00
-2.83,0.50,0.48,8.00
-2.80,0.49,0.54,9.00
-2.77,0.47,0.59,10.00
-2.73,0.45,0.64,11.00
-2.69,0.43,0.68,12.00
-2.65,0.41,0.73,13.00
-2.61,0.40,0.77,14.00
-2.56,0.38,0.81,15.00
-2.51,0.36,0.84,16.00
-2.46,0.34,0.88,17.00
-2.40,0.32,0.90,18.00
-2.35,0.31,0.93,19.00
-2.29,0.29,0.95,20.00
-2.23,0.27,0.97,21.00
-2.17,0.26,0.98,22.00
-2.11,0.24,0.99,23.00
-2.05,0.22,1.00,24.00
-1.99,0.21,1.00,25.00
-1.93,0.19,1.00,26.00
-1.87,0.18,0.99,27.00
-1.80,0.17,0.98,28.00
-1.74,0.15,0.97,29.00
-1.69,0.14,0.95,30.00
-1.63,0.13,0.93,31.00
-1.57,0.12,0.90,32.00
-1.51,0.11,0.88,33.00
-1.46,0.10,0.84,34.00
-1.41,0.09,0.81,35.00
-1.36,0.08,0.77,36.00
-1.31,0.07,0.73,37.00
-1.27,0.06,0.68,38.00
-1.23,0.06,0.64,39.00
-1.19,0.05,0.59,40.00
-1.15,0.04,0.54,41.00
-1.12,0.04,0.48,42.00
-1.09,0.03,0.43,43.00
-1.07,0.03,0.37,44.00
-1.05,0.02,0.31,45.00
-1.03,0.02,0.25,46.00
-1.02,0.01,0.19,47.00
-1.01,0.01,0.13,48.00
-1.00,0.00,0.06,49.00
-1.00,0.00,0.00,50.00
-1.00,0.00,-0.06,51.00
-1.01,-0.01,-0.13,52.00
-1.02,-0.01,-0.19,53.00
-1.03,-0.02,-0.25,54.00
-1.05,-0.02,-0.31,55.00
-1.07,-0.03,-0.37,56.00
-1.09,-0.03,-0.43,57.00
-1.12,-0.04,-0.48,58.00
-1.15,-0.04,-0.54,59.00
-1.19,-0.05,-0.59,60.00
-1.23,-0.06,-0.64,61.00
-1.27,-0.06,-0.68,62.00
-1.31,-0.07,-0.73,63.00
-1.36,-0.08,-0.77,64.00
-1.41,-0.09,-0.81,65.00
-1.46,-0.10,-0.84,66.00
-1.51,-0.11,-0.88,67.00
-1.57,-0.12,-0.90,68.00
-1.63,-0.13,-0.93,69.00
-1.69,-0.14,-0.95,70.00
-1.74,-0.15,-0.97,71.00
-1.80,-0.17,-0.98,72.00
-1.87,-0.18,-0.99,73.00
-1.93,-0.19,-1.00,74.00
-1.99,-0.21,-1.00,75.00
-2.05,-0.22,-1.00,76.00
-2.11,-0.24,-0.99,77.00
-2.17,-0.26,-0.98,78.00
-2.23,-0.27,-0.97,79.00
-2.29,-0.29,-0.95,80.00
-2.35,-0.31,-0.93,81.00
-2.40,-0.32,-0.90,82.00
-2.46,-0.34,-0.88,83.00
-2.51,-0.36,-0.84,84.00
-2.56,-0.38,-0.81,85.00
-2.61,-0.40,-0.77,86.00
-2.65,-0.41,-0.73,87.00
-2.69,-0.43,-0.68,88.00
-2.73,-0.45,-0.64,89.00
-2.77,-0.47,-0.59,90.00
-2.80,-0.49,-0.54,91.00
-2.83,-0.50,-0.48,92.00
-2.86,-0.52,-0.43,93.00
-2.88,-0.54,-0.37,94.00
-2.90,-0.55,-0.31,95.00
-2.91,-0.57,-0.25,96.00
-2.92,-0.58,-0.19,97.00
-2.93,-0.60,-0.13,98.00
-2.94,-0.61,-0.06,99.00
-2.93,-0.62,0.00,0.00
-2.93,-0.64,0.06,1.00
-2.92,-0.65,0.13,2.00
-2.91,-0.66,0.19,3.00
-2.89,-0.67,0.25,4.00
-2.87,-0.67,0.31,5.00
-2.85,-0.68,0.37,6.00
-2.82,-0.69,0.43,7.00
-2.79,-0.69,0.48,8.00
-2.76,-0.70,0.54,9.00
-2.72,-0.70,0.59,10.00
-2.68,-0.70,0.64,11.00
-2.64,-0.70,0.68,12.00
-2.59,-0.70,0.73,13.00
-2.54,-0.70,0.77,14.00
-2.49,-0.70,0.81,15.00
-2.44,-0.69,0.84,16.00
